dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S),mRMR (best),KGroups (best),KGroups++ (best),KGroups (best of)
ALLAML,98.57,98.57,100.0,94.48,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,100.0,98.57,98.57,98.57,98.57,98.57,98.57,98.57,97.24,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,100.0,100.0,98.57,98.57,100.0,98.67,100.0,100.0,100.0,100.0
CLL_SUB_111,71.15,68.46,85.57000000000001,68.46,75.61,72.13000000000001,71.98,75.61,70.28,73.87,75.77000000000001,74.62,79.21000000000001,73.79,72.06,73.95,78.38000000000001,78.3,80.99,72.89,73.83,82.92,82.02000000000001,85.53,86.44,84.7,85.57000000000001,84.61999999999999,83.78999999999999,82.92,83.72,87.39,84.66,84.7,87.39,87.39,85.57000000000001,85.57000000000001,80.99,87.39,87.39
Carcinom,92.52,93.65,95.97,29.9,32.2,29.9,35.65,32.2,37.34,35.65,49.45,58.60999999999999,71.28999999999999,68.92,70.71,69.55,77.01,78.74,78.74,79.86999999999999,36.24,36.24,36.24,39.14,36.24,40.84,40.84,55.75,56.92,76.47,63.78,79.88,77.03999999999999,79.86999999999999,80.4,81.58,80.47,95.97,79.86999999999999,81.58,81.58
GLIOMA,88.0,88.0,88.0,72.0,86.0,78.0,88.0,88.0,86.0,90.0,86.0,88.0,84.0,92.0,86.0,82.0,86.0,86.0,82.0,86.0,74.0,86.0,88.0,86.0,86.0,88.0,86.0,88.0,88.0,88.0,90.0,90.0,88.0,88.0,88.0,88.0,88.0,88.0,92.0,90.0,92.0
GLI_85,95.29,94.12,97.65,95.29,96.47,95.29,95.29,96.47,97.65,95.29,97.65,97.65,96.47,98.82,97.65,97.65,97.65,96.47,98.82,95.29,97.65,96.47,96.47,96.47,96.47,97.65,96.47,96.47,96.47,97.65,97.65,97.65,96.47,96.47,97.65,97.65,96.47,97.65,98.82,97.65,98.82
Prostate_GE,95.1,95.1,97.05,94.05,96.05,96.05,96.05,96.05,96.05,97.05,96.0,97.0,95.1,96.0,96.05,96.1,96.1,96.05,96.05,96.05,96.05,96.05,96.05,95.1,96.05,95.1,96.05,96.05,95.14,96.05,95.14,96.05,96.05,96.05,96.05,97.05,96.05,97.05,97.05,97.05,97.05
SMK_CAN_187,75.39,75.39,81.28,75.92999999999999,74.32,74.32,73.24000000000001,74.32,72.72999999999999,74.82,72.72,73.26,72.2,72.18,72.72999999999999,73.22999999999999,73.27,72.72999999999999,72.67,72.75,77.51,76.42999999999999,76.44,75.38,74.86,75.39,77.03,74.88,76.97,75.39,75.92999999999999,76.49000000000001,75.42999999999999,76.98,74.88,76.5,75.94999999999999,81.28,75.92999999999999,77.51,77.51
TOX_171,70.19999999999999,68.37,80.13,67.85,75.46000000000001,73.13,77.8,74.92,73.75,75.48,74.29,75.48,75.5,75.44999999999999,76.0,75.48,72.57000000000001,76.07000000000001,71.43,74.89,64.91,69.61,69.01,69.04,70.17,70.78999999999999,72.55,70.17999999999999,70.19999999999999,70.22,72.54,70.77,69.61,71.31,70.17999999999999,71.36,70.77,80.13,77.8,72.55,77.8
colon,90.13,90.13,93.33,90.13,91.79,91.67,91.79,90.13,91.79,91.79,91.67,93.59,91.67,91.67,91.79,93.33,91.79,91.79,91.67,91.92,90.13,93.33,93.33,91.92,91.67,93.33,93.46,93.46,93.46,95.0,91.79,91.79,91.92,91.67,91.79,92.05,91.67,93.33,93.59,95.0,95.0
leukemia,100.0,100.0,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.24,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
