dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S),mRMR (best),KGroups (best),KGroups++ (best),KGroups (best of)
ALLAML,96.98±2.03,97.43±1.63,98.13±2.11,93.76±0.75,97.65±1.69,97.43±1.63,97.65±1.69,97.87±1.19,97.87±1.19,97.87±1.19,97.87±1.19,98.09±1.17,98.33±1.41,97.89±1.18,98.09±1.17,98.09±1.17,98.09±1.17,98.09±1.17,98.09±1.17,98.09±1.17,95.81±1.51,97.43±2.21,97.43±2.21,97.44±1.59,97.65±1.69,97.67±1.65,97.67±1.65,97.67±1.65,97.89±1.67,97.67±1.65,97.65±1.65,98.64±1.73,98.38±1.34,97.68±1.09,97.89±1.13,98.38±1.99,98.38±0.52,98.13±2.11,98.33±1.41,99.33±1.12,99.33±1.12
CLL_SUB_111,65.62±4.58,65.17±3.86,81.05±5.67,61.91±5.73,66.22±6.46,64.28±5.84,66.36±5.26,66.82±6.08,66.54±3.58,67.56±4.32,72.3±5.42,71.26±3.87,73.36±4.19,68.88±4.1,67.86±2.71,68.89±4.0,71.31±5.33,69.94±6.49,71.6±5.16,68.59±3.59,61.85±9.89,77.5±5.67,77.62±5.27,79.44±4.23,78.96±6.04,79.87±3.99,79.72±4.29,79.12±4.23,79.41±3.48,78.19±3.54,79.86±3.12,79.73±4.92,78.82±4.43,77.92±4.7,79.72±4.86,78.84±5.56,79.1±4.66,81.05±5.67,75.1±4.7,81.98±4.37,81.98±4.37
Carcinom,81.93±14.66,85.03±12.95,89.82±10.7,28.65±1.6,29.52±2.32,28.65±1.6,32.09±2.91,29.52±2.32,33.54±3.11,32.1±2.92,45.9±6.42,50.92±9.29,64.09±10.1,62.43±8.8,66.18±7.75,64.26±9.92,69.05±10.44,71.43±9.2,71.35±8.39,72.88±9.96,32.51±5.01,32.7±4.81,32.51±5.01,35.28±4.01,32.7±4.81,36.82±4.83,36.72±4.79,48.09±7.5,49.14±7.62,68.22±11.57,58.91±7.63,72.5±10.92,69.84±10.8,73.66±10.21,72.99±10.88,74.42±10.87,73.84±10.47,89.82±10.7,74.32±9.53,74.91±10.84,75.38±10.16
GLIOMA,78.67±6.41,78.33±6.12,83.33±4.32,59.67±7.42,81.0±4.15,74.0±2.19,81.33±5.01,82.33±4.27,82.33±4.08,82.67±5.16,81.67±3.2,84.67±3.72,79.33±4.13,81.33±6.41,80.0±4.0,81.33±1.03,80.67±4.32,81.67±2.94,79.33±1.63,82.67±3.01,63.67±7.84,84.0±2.19,82.0±4.0,84.0±2.53,83.33±2.42,84.67±3.01,84.33±2.66,84.67±3.01,86.0±2.53,85.0±2.1,85.0±2.76,85.67±2.94,85.33±2.42,85.33±3.01,85.33±3.01,85.0±3.03,85.33±3.01,83.33±4.32,86.33±4.46,86.67±3.01,88.33±3.44
GLI_85,93.72±0.96,93.53±0.65,95.69±1.92,94.12±1.05,94.51±1.61,94.31±1.16,94.31±1.16,94.12±1.29,95.49±2.29,94.31±1.16,95.29±1.66,95.1±1.73,95.1±0.88,95.29±2.23,95.1±1.38,94.51±1.77,94.51±2.19,94.9±1.42,95.29±2.35,94.31±0.88,94.32±1.73,95.68±0.96,95.29±1.05,95.29±1.29,95.49±1.16,95.88±1.23,95.49±0.89,95.68±0.96,95.68±0.96,95.88±1.23,95.69±1.42,95.88±1.62,95.49±1.16,95.49±1.16,95.88±1.62,96.28±1.38,95.49±1.16,95.69±1.92,96.27±1.73,96.67±1.16,97.06±1.44
Prostate_GE,94.6±0.51,94.59±0.52,95.25±1.14,93.27±1.09,95.24±0.73,94.61±1.01,95.1±0.6,95.39±0.8,95.26±0.72,95.38±0.82,94.76±0.78,95.24±0.94,94.75±0.5,95.23±0.7,95.26±0.39,95.41±0.52,95.42±0.8,94.76±0.79,95.08±0.62,94.61±0.81,93.76±1.32,94.92±1.14,94.43±1.32,94.77±0.51,95.24±0.95,95.07±0.03,95.08±0.86,94.92±0.72,94.76±0.53,95.09±0.6,94.94±0.44,95.25±0.72,95.09±0.62,95.1±0.86,95.57±0.52,95.57±1.03,94.93±0.73,95.41±1.01,96.39±0.49,96.22±0.41,96.39±0.49
SMK_CAN_187,74.83±0.67,74.49±0.72,78.59±2.25,74.67±0.66,72.08±1.64,72.8±1.33,71.28±1.1,72.8±1.43,71.47±0.88,72.43±1.25,70.41±1.59,71.82±1.62,70.12±1.24,70.76±1.0,71.45±1.35,71.49±1.65,70.12±1.77,70.15±2.16,70.83±1.19,70.14±1.47,76.36±0.91,75.39±0.69,75.02±1.11,74.48±0.72,74.31±0.67,73.97±1.16,74.78±1.46,73.98±1.06,74.94±1.53,73.63±1.32,74.61±0.94,73.89±1.5,74.07±1.17,74.51±1.93,73.72±1.02,73.55±2.0,74.35±1.13,78.59±2.25,74.76±0.63,76.81±0.55,76.81±0.55
TOX_171,61.64±12.36,65.89±2.0,75.68±2.38,64.52±3.05,70.77±3.46,69.32±2.89,72.23±3.82,70.18±3.02,71.08±2.24,69.34±3.48,69.9±2.88,70.79±3.5,71.21±2.85,70.55±3.16,70.3±3.32,71.67±3.35,69.7±2.55,70.48±3.7,67.47±3.2,70.0±3.87,63.36±1.15,67.76±1.87,65.53±2.48,66.32±3.23,66.69±3.27,66.89±3.55,67.77±3.44,67.18±2.53,66.18±3.67,66.21±3.08,67.76±3.62,66.4±3.65,65.9±3.14,67.74±2.52,66.67±2.62,66.38±3.71,67.26±2.98,75.68±2.38,74.0±2.97,69.52±2.5,74.0±2.97
colon,89.1±0.8,89.36±0.84,90.9±1.99,88.85±0.63,90.6±1.37,90.04±1.06,91.13±0.88,89.57±0.76,90.08±1.47,90.94±0.85,90.09±1.02,91.48±1.31,89.53±1.31,90.41±1.12,89.64±1.6,90.38±1.59,90.68±1.27,90.68±0.86,89.87±1.16,91.32±0.88,88.04±2.41,90.9±1.35,90.06±1.78,90.96±0.91,90.09±1.41,91.43±1.23,91.8±2.01,91.84±1.41,91.58±1.17,92.33±1.92,91.2±0.83,91.02±0.8,90.72±1.32,89.1±1.59,90.21±1.93,89.66±1.41,90.41±1.15,90.94±1.94,92.39±0.83,93.16±1.15,93.42±1.02
leukemia,98.89±1.0,98.89±1.0,98.86±1.84,95.44±2.59,99.34±0.73,99.11±0.69,99.56±0.69,99.56±0.69,99.56±0.69,99.34±0.73,99.78±0.54,99.78±0.54,99.56±0.69,99.56±0.69,99.56±0.69,99.56±0.69,99.78±0.54,99.78±0.54,99.78±0.54,99.56±0.69,94.76±1.99,98.45±1.31,97.26±1.78,98.86±1.6,98.45±1.31,99.08±1.43,98.89±1.56,99.1±1.65,99.32±1.15,99.32±1.15,99.32±1.15,99.32±1.15,99.32±1.15,99.33±1.12,99.32±1.15,99.1±1.12,99.33±1.12,99.33±1.12,99.78±0.54,99.33±1.12,99.78±0.54
