dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S),mRMR (best),KGroups (best),KGroups++ (best),KGroups (best of)
ALLAML,98.36±1.37,98.16±1.45,96.94±1.03,98.16±1.46,98.11±1.13,98.62±1.53,98.36±1.64,98.84±1.63,99.06±1.69,99.32±1.67,98.86±1.6,99.32±1.67,98.86±1.6,99.33±1.12,99.54±1.13,99.56±1.09,99.32±1.13,99.54±1.13,99.11±1.09,98.64±2.1,99.56±1.09,99.1±1.65,99.56±1.09,99.56±1.09,99.56±1.09,99.56±1.09,99.56±1.09,99.78±0.54,99.56±1.09,99.56±1.09,99.56±1.09,99.09±1.1,99.56±1.09,99.33±1.12,99.56±1.09,99.56±1.09,98.16±1.45,99.56±1.09,99.78±0.54,99.78±0.54
CLL_SUB_111,85.28±2.5,88.12±2.75,78.76±1.24,84.21±1.23,83.46±1.79,85.69±1.56,85.09±1.87,85.25±1.66,85.4±1.32,84.64±1.6,85.28±2.31,85.99±1.68,84.64±1.88,84.04±2.01,84.65±2.27,84.05±2.13,84.34±1.35,84.77±1.64,85.4±2.12,80.39±1.98,81.84±2.29,82.08±2.52,81.98±1.6,82.73±2.96,81.69±2.35,82.6±1.92,81.24±2.63,81.72±2.37,81.27±2.44,81.4±2.23,81.73±2.71,81.25±3.3,81.73±2.37,81.42±2.75,80.96±2.05,82.17±2.87,88.12±2.75,87.06±1.87,83.96±1.8,87.08±1.83
Carcinom,86.88±9.89,90.41±5.96,68.49±3.01,88.1±5.4,85.34±4.56,89.44±5.04,88.88±5.24,89.16±5.57,89.17±5.13,89.26±5.9,86.95±9.53,90.12±5.43,89.63±5.67,90.41±6.06,89.83±5.23,90.03±4.85,89.83±5.17,90.3±5.39,90.32±6.61,60.64±5.88,86.78±7.78,84.68±7.11,87.36±7.62,86.6±7.13,88.88±7.32,88.41±7.27,89.08±7.08,89.17±7.76,89.65±7.24,89.55±7.34,89.37±7.36,89.74±6.93,89.93±7.53,89.83±7.22,89.84±6.8,89.36±7.51,90.41±5.96,91.56±5.51,90.5±7.15,91.56±5.51
GLIOMA,90.33±6.74,88.0±5.66,77.0±5.02,90.33±3.44,86.33±2.34,88.67±5.01,90.67±2.42,90.0±5.06,90.0±3.58,88.33±2.34,89.33±5.61,88.0±4.56,89.67±3.88,89.0±3.74,89.67±4.63,88.67±5.01,88.33±4.27,87.0±3.74,87.67±3.88,67.0±1.67,86.33±4.63,85.33±4.32,87.33±3.27,86.0±4.73,86.0±4.2,87.33±3.5,86.67±4.32,87.0±3.29,87.33±2.73,86.67±2.73,86.33±2.94,86.33±2.94,87.0±2.76,87.0±3.74,86.0±2.53,87.0±3.95,88.0±5.66,91.67±3.67,89.0±3.29,91.67±3.67
GLI_85,94.9±0.6,94.7±2.07,90.98±1.21,96.08±1.92,95.49±1.16,96.08±0.96,95.88±1.62,95.69±1.92,96.27±1.56,95.49±0.89,96.27±0.89,95.49±0.89,95.49±1.16,96.08±1.22,95.88±1.62,95.49±1.16,95.49±0.89,95.68±1.43,96.08±0.96,90.59±1.82,95.68±0.96,94.31±1.37,95.69±1.77,95.49±0.89,95.88±1.44,96.47±1.06,95.29±2.36,96.08±2.06,95.49±2.16,96.08±2.06,95.88±2.07,95.88±1.93,95.69±2.19,95.88±1.93,95.88±1.93,95.88±1.93,94.7±2.07,96.66±1.38,97.06±1.44,97.25±1.61
Prostate_GE,95.23±1.29,94.92±0.95,90.57±2.12,93.96±1.14,94.44±0.99,94.12±0.85,94.27±0.96,94.93±0.94,94.6±1.33,94.44±1.18,94.6±0.81,94.61±1.03,94.76±1.33,94.28±1.75,94.78±1.46,94.28±1.15,94.63±1.46,94.29±1.77,94.6±1.47,92.35±1.9,95.57±0.53,95.41±0.79,95.57±0.79,95.57±0.53,95.89±0.72,95.9±0.73,95.26±0.39,95.42±0.49,95.26±0.74,95.42±0.5,95.88±1.15,95.73±0.98,95.73±1.15,95.56±0.83,95.23±1.14,95.24±0.75,94.92±0.95,95.89±0.74,96.22±0.73,96.22±0.73
SMK_CAN_187,74.59±1.44,74.22±1.76,74.16±2.37,76.38±1.23,75.67±1.61,75.06±1.63,75.68±0.8,74.67±1.04,75.67±0.86,74.95±1.3,74.98±0.99,74.69±0.55,74.79±1.24,74.24±2.21,74.86±0.96,74.17±1.09,73.62±0.98,73.7±1.31,74.24±1.22,74.33±1.9,76.64±1.38,76.38±0.92,75.41±1.25,76.02±1.13,76.0±1.63,75.66±1.13,76.11±1.24,75.41±1.85,75.19±1.38,74.78±1.24,75.02±1.56,75.23±2.35,74.85±1.4,75.11±2.06,75.13±1.7,75.21±1.61,74.22±1.76,76.92±0.91,77.62±0.97,77.72±0.86
TOX_171,70.5±18.53,80.81±4.0,60.06±1.61,74.97±2.13,72.93±2.18,76.35±2.72,76.17±4.56,77.04±2.8,76.83±2.56,76.46±2.73,76.74±3.64,76.33±3.79,76.52±3.62,74.9±3.47,75.27±3.49,74.87±2.49,75.66±3.24,76.06±3.85,76.14±4.47,62.39±2.59,73.42±3.69,70.18±2.85,74.4±4.1,74.19±4.09,73.23±4.78,73.04±4.53,72.83±4.94,73.41±4.4,72.44±4.51,72.14±4.24,71.54±4.61,72.43±4.32,71.27±4.26,71.83±3.72,72.15±4.28,71.05±4.93,80.81±4.0,78.6±3.37,74.88±4.04,78.7±3.29
colon,87.93±1.61,88.22±1.78,80.11±2.21,88.74±1.12,87.18±1.87,88.46±1.02,89.02±1.3,90.06±1.02,89.02±1.24,89.81±0.73,89.81±0.67,89.85±1.22,89.74±1.23,89.32±1.67,89.3±1.65,90.11±0.94,90.38±1.2,89.51±1.33,89.27±1.69,78.27±2.71,89.53±0.78,86.92±2.82,89.57±0.81,89.27±1.32,90.15±1.02,89.83±0.61,89.87±1.23,90.34±1.17,90.11±1.41,90.11±1.44,90.36±1.2,90.36±1.57,90.41±1.54,90.62±0.81,89.4±1.32,90.13±1.41,88.22±1.78,90.94±0.89,90.96±0.87,91.24±0.81
leukemia,99.56±0.69,99.78±0.54,97.75±1.13,99.33±1.12,99.11±1.09,99.56±0.69,99.56±0.69,99.56±0.69,99.56±0.69,99.56±0.69,99.78±0.54,99.78±0.54,99.56±0.69,99.78±0.54,99.78±0.54,99.56±1.09,99.78±0.54,99.33±1.12,99.56±1.09,96.08±1.38,99.11±0.69,99.11±0.69,99.34±0.73,99.11±0.69,99.34±0.73,99.34±0.73,99.34±0.73,99.11±0.69,98.89±1.0,98.89±1.0,98.65±1.21,98.89±1.0,99.11±1.38,98.65±1.21,98.87±1.33,98.65±1.21,99.78±0.54,99.78±0.54,99.56±0.69,99.78±0.54
