dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S),mRMR (best),KGroups (best),KGroups++ (best),KGroups (best of)
ALLAML,98.57,100.0,100.0,98.57,98.67,100.0,100.0,98.67,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,100.0,100.0,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,100.0,100.0,98.57,100.0
CLL_SUB_111,84.66,90.03999999999999,90.03999999999999,85.53,84.66,83.75,83.75,83.67999999999999,84.66,83.75,82.85,84.66,84.61999999999999,83.75,83.75,83.78999999999999,83.0,84.61999999999999,82.02000000000001,82.02000000000001,84.7,86.56,85.61,84.74000000000001,83.83,85.61,85.57000000000001,84.74000000000001,84.74000000000001,84.66,84.78,85.53,84.74000000000001,83.78999999999999,85.57000000000001,85.57000000000001,84.61999999999999,90.03999999999999,85.53,86.56,86.56
Carcinom,95.38,96.55,91.92,92.52,94.24,94.82,93.09,95.39,93.66,93.66,93.11,94.81,90.79,92.5,89.05999999999999,90.24,90.22,90.79,89.05999999999999,91.93,91.33,95.39,95.38,95.38,96.52,94.79,95.36,93.09,93.63,94.82,91.92,91.38,91.93,90.76,91.34,90.22,89.64999999999999,96.55,95.39,96.52,96.52
GLIOMA,90.0,90.0,88.0,88.0,88.0,90.0,90.0,94.0,88.0,88.0,90.0,86.0,86.0,88.0,86.0,86.0,84.0,92.0,84.0,86.0,86.0,88.0,88.0,88.0,86.0,86.0,88.0,88.0,86.0,88.0,86.0,88.0,86.0,86.0,86.0,86.0,88.0,90.0,94.0,88.0,94.0
GLI_85,96.47,97.65,97.65,96.47,97.65,97.65,98.82,97.65,96.47,98.82,97.65,97.65,96.47,97.65,96.47,97.65,96.47,96.47,96.47,96.47,97.65,97.65,96.47,97.65,96.47,96.47,96.47,96.47,96.47,96.47,96.47,97.65,96.47,96.47,96.47,96.47,96.47,97.65,98.82,97.65,98.82
Prostate_GE,96.05,97.05,98.0,96.05,97.0,96.1,96.1,97.05,96.05,97.05,97.05,96.1,96.1,96.1,96.1,97.05,96.05,97.05,96.1,96.05,95.05,95.14,96.1,97.05,96.05,95.1,97.0,97.05,95.1,96.05,95.1,96.05,96.05,96.0,96.05,97.0,96.05,98.0,97.05,97.05,97.05
SMK_CAN_187,76.49000000000001,73.81,68.96,75.94999999999999,75.41,75.42999999999999,75.92,75.42,73.83999999999999,74.3,74.85000000000001,73.83999999999999,74.3,73.24000000000001,72.22,74.31,72.72999999999999,71.15,71.17999999999999,72.26,75.96000000000001,74.32,73.76,73.74000000000001,75.39,72.76,73.78,73.78,75.42,73.76,73.22999999999999,74.86,73.78,73.27,72.72999999999999,72.2,73.27,73.81,75.94999999999999,75.96000000000001,75.96000000000001
TOX_171,69.03,77.25999999999999,77.78,68.45,71.26,68.44,77.82,73.66,74.29,71.33,71.98,72.55,73.04,72.59,72.54,72.55,70.12,70.77,72.55,72.57000000000001,69.04,66.07,67.23,67.83,68.37,67.86999999999999,67.24,64.87,64.3,64.91,63.74999999999999,65.53,64.32,63.78,64.37,62.55,64.34,77.78,77.82,69.04,77.82
colon,93.33,93.46,91.79,93.33,95.0,93.33,95.0,95.0,93.33,93.33,93.46,93.46,95.0,95.0,93.46,93.46,91.79,95.0,91.92,95.0,91.79,91.79,91.79,88.59,90.26,91.67,90.13,91.67,90.0,90.13,91.67,91.67,91.67,91.67,91.67,90.0,91.67,93.46,95.0,91.79,95.0
leukemia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,100.0,100.0,100.0,100.0,98.67,100.0,100.0,100.0,100.0
