dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57,98.67,97.14,98.67,98.57,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CLL_SUB_111,87.35000000000001,91.86,78.25999999999999,84.74000000000001,84.7,85.49,85.57000000000001,86.44,86.48,85.53,84.7,88.22,86.44,84.66,87.31,86.4,85.57000000000001,85.45,89.21,79.13,82.02000000000001,81.89999999999999,81.11,82.92,81.11,82.89,82.96,82.06,80.28,80.28,82.09,80.24,82.96,81.19,80.2,82.89
Carcinom,94.82,95.98,71.28,93.66,90.81,93.63,94.27,94.27,94.82,94.84,93.7,95.39,94.77,94.82,93.66,94.24,93.7,94.22,96.54,66.08000000000001,92.54,89.08,93.66,93.13,94.81,94.81,94.82,95.97,95.97,96.54,95.97,95.97,96.54,95.95,96.54,95.38
GLIOMA,98.0,94.0,76.0,96.0,90.0,94.0,92.0,96.0,94.0,92.0,94.0,94.0,94.0,94.0,94.0,94.0,92.0,90.0,92.0,68.0,88.0,88.0,88.0,88.0,88.0,88.0,90.0,88.0,88.0,88.0,90.0,88.0,90.0,88.0,86.0,92.0
GLI_85,95.29,96.47,91.76,97.65,96.47,97.65,97.65,97.65,96.47,96.47,97.65,96.47,96.47,97.65,97.65,95.29,95.29,96.47,96.47,91.76,95.29,94.12,97.65,95.29,96.47,97.65,97.65,97.65,96.47,97.65,98.82,97.65,97.65,97.65,96.47,96.47
Prostate_GE,97.0,96.05,91.19,95.1,94.14,95.1,95.05,96.05,96.05,96.05,95.1,96.1,96.1,96.0,97.05,95.1,96.1,95.14,96.05,93.19,96.05,96.05,96.05,96.05,96.05,97.05,96.05,96.05,96.1,96.1,97.05,97.0,97.0,96.05,96.05,96.05
SMK_CAN_187,74.86,72.66,76.47,77.0,74.85000000000001,74.32,75.96000000000001,74.32,74.88,73.26,73.29,74.38,74.32,73.27,74.33999999999999,72.22,72.76,71.15,73.8,74.86,75.9,75.96000000000001,74.37,74.88,74.31,74.83999999999999,74.33999999999999,74.88,76.46,73.8,73.8,72.2,73.78,72.76,74.33999999999999,73.26
TOX_171,81.89999999999999,85.95,62.59,77.82,75.46000000000001,80.74,84.28999999999999,80.74,80.17,80.13,81.38,83.06,83.03,80.13,81.31,78.4,80.15,82.47,83.11,64.92,79.58,73.75,80.15,80.15,80.15,79.58,78.99000000000001,80.13,78.39,78.35,77.19,77.78,77.23,78.35,77.24,76.64
colon,88.46000000000001,90.0,82.05,88.46000000000001,85.26,88.46000000000001,88.46000000000001,91.67,88.46000000000001,90.0,90.0,90.13,88.46000000000001,88.59,88.46000000000001,90.13,91.67,88.46000000000001,88.33,80.38,88.59,85.38,90.13,90.0,91.79,90.13,91.79,91.67,91.67,91.67,90.0,91.67,91.67,90.0,88.59,90.26
leukemia,100.0,100.0,98.67,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,100.0,98.67,98.67,98.67
lung,97.04,97.04,90.63,96.54,96.55,96.06,97.04,97.04,97.04,97.02,96.55,97.04,97.05,97.04,96.55,97.05,97.02,96.55,96.55,90.15,96.05,96.05,97.05,96.06,96.54,97.04,97.52,96.55,97.04,97.54,97.52,97.02,97.04,97.52,97.04,97.05
lung_discrete,93.05,93.05,73.71,94.38,89.05,93.05,94.48,91.81,93.14,92.95,91.62,91.62,90.38,91.62,91.62,90.38,90.19,89.05,91.81,78.0,93.05,88.94999999999999,95.81,94.29,95.9,94.38,94.38,94.48,93.14,95.9,93.05,94.38,91.71,91.52,90.29,91.62
lymphoma,95.84,98.95,64.68,91.79,91.68,91.79,94.79,93.74,93.74,94.74,92.74,93.79,93.74,92.74,93.84,95.84,93.84,94.74,91.74,65.84,92.74,91.74,93.79,93.79,95.79,94.79,95.79,95.84,95.79,94.79,95.79,95.79,96.84,94.84,95.79,94.84
nci9,78.33,76.67,40.0,71.67,73.33,73.33,71.67,73.33,78.33,75.0,76.67,71.67,71.67,76.67,73.33,73.33,76.67,70.0,70.0,33.33,71.67,66.67,75.0,75.0,75.0,75.0,76.67,80.0,75.0,76.67,78.33,76.67,78.33,76.67,76.67,80.0
