dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,100.0,100.0,95.81,97.14,98.57,98.57,97.14,98.57,98.57,100.0,98.57,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,98.57,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.57,100.0,98.67,100.0,100.0
CLL_SUB_111,88.26,89.17,80.12,86.4,84.61999999999999,88.22,87.35000000000001,87.35000000000001,86.44,87.31,88.22,86.4,85.57000000000001,85.53,87.39,86.44,86.4,87.35000000000001,85.53,83.75,83.75,84.61999999999999,84.7,87.35000000000001,85.53,85.57000000000001,83.78999999999999,85.53,85.61,85.53,84.66,87.31,84.66,85.57000000000001,84.61999999999999,85.57000000000001
Carcinom,91.34,92.5,69.5,89.63,85.61,90.18,89.08,91.34,90.22,91.31,90.77,91.36,89.63,91.36,90.79,91.38,91.93,90.79,90.22,65.5,88.5,87.33999999999999,88.52,87.92999999999999,90.22,90.22,90.79,90.79,90.79,91.33,90.22,91.93,90.77,91.36,91.93,91.36
GLIOMA,92.0,92.0,82.0,90.0,86.0,90.0,90.0,88.0,90.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,90.0,86.0,88.0,68.0,90.0,88.0,90.0,90.0,90.0,90.0,88.0,88.0,88.0,88.0,88.0,90.0,88.0,90.0,88.0,86.0
GLI_85,95.29,96.47,90.59,96.47,95.29,96.47,95.29,96.47,96.47,96.47,96.47,96.47,95.29,96.47,96.47,96.47,96.47,96.47,95.29,91.76,96.47,96.47,96.47,96.47,96.47,96.47,96.47,96.47,96.47,97.65,96.47,96.47,96.47,96.47,97.65,97.65
Prostate_GE,94.1,95.1,89.24,95.1,94.1,94.14,94.14,95.1,95.1,95.1,94.14,95.1,95.1,94.14,95.1,95.1,94.14,95.05,95.1,92.19,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1
SMK_CAN_187,73.77,72.72999999999999,72.19,75.42999999999999,74.88,75.48,74.91,74.86,74.35000000000001,74.85000000000001,74.83999999999999,73.78,75.97,73.27,73.8,74.35000000000001,73.8,74.35000000000001,74.37,72.72,76.46,75.41,75.9,76.46,77.5,76.92999999999999,77.5,77.5,75.35,75.92,77.51,78.59,77.0,77.51,76.49000000000001,75.92999999999999
TOX_171,83.09,83.67999999999999,59.11,77.19,75.48,78.4,78.39,77.21000000000001,78.42,77.85,79.61,77.23,77.86999999999999,77.83,76.66,76.05,77.23,77.28,76.62,62.02,73.72999999999999,72.52,75.5,74.3,76.66,73.7,73.7,73.7,71.98,73.7,71.97,73.14,70.81,71.95,73.13,72.49
colon,88.46000000000001,90.0,77.05,88.59,86.92,88.46000000000001,88.46000000000001,90.0,88.46000000000001,90.0,88.46000000000001,90.0,90.0,90.13,90.0,90.0,90.0,90.0,90.0,80.38,90.13,88.46000000000001,88.59,88.46000000000001,90.26,88.59,88.59,88.59,88.59,88.46000000000001,88.59,88.46000000000001,88.59,90.13,88.72,88.59
leukemia,100.0,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
lung,96.55,96.55,93.59,97.02,96.55,97.02,97.04,96.54,97.04,97.04,97.04,96.55,97.04,97.04,96.55,96.55,97.02,96.56,97.52,94.57,96.55,96.06,97.04,96.06,97.52,97.04,97.02,97.02,96.55,97.52,97.04,97.05,96.55,97.05,97.04,97.04
lung_discrete,91.71,91.62,70.86,91.81,87.71,91.71,87.71,90.38,90.29,90.38,90.38,90.38,90.38,88.94999999999999,90.38,90.38,88.94999999999999,89.05,90.38,71.14,88.94999999999999,83.52000000000001,88.94999999999999,89.14,90.48,90.38,94.57,91.71,90.29,93.05,90.38,91.71,90.38,90.38,91.71,90.29
lymphoma,90.74,92.68,66.89,88.74,87.63,89.68,88.74,88.68,88.68,90.68,88.63,91.68,90.58,88.63,89.63,91.74,89.74,89.58,88.63,66.67999999999999,89.68,88.74,91.79,89.68,90.74,90.74,91.74,92.63,91.79,91.79,90.74,91.79,93.74,91.79,91.79,92.79
nci9,73.33,75.0,46.67,70.0,70.0,71.67,70.0,75.0,75.0,73.33,73.33,73.33,71.67,71.67,75.0,71.67,73.33,73.33,73.33,33.33,66.67,66.67,70.0,68.33,70.0,70.0,75.0,71.67,75.0,78.33,75.0,75.0,75.0,75.0,78.33,73.33
