dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57,98.67,97.24,98.57,98.67,100.0,100.0,98.57,98.67,100.0,100.0,100.0,100.0,98.67,98.67,98.67,98.67,100.0,100.0,100.0,95.9,98.57,97.24,97.24,98.57,98.57,97.24,98.57,98.57,97.24,98.57,97.24,98.57,98.57,98.57,98.57,97.24
CLL_SUB_111,76.6,82.02000000000001,78.46,78.38000000000001,77.55,78.25999999999999,78.3,78.34,79.21000000000001,77.42999999999999,75.57000000000001,76.6,76.52,75.73,75.73,75.69,73.83,81.23,76.44,74.82,75.73,79.25,75.69,79.36999999999999,79.25,81.11,77.66999999999999,79.25,76.6,78.34,79.25,80.99,79.25,77.59,80.99,80.16,78.38000000000001
Carcinom,94.81,94.82,89.08,86.76,93.11,94.24,92.5,93.68,93.66,93.65,93.09,94.81,90.79,92.5,89.05999999999999,90.24,89.08,90.79,88.47,90.81,89.63,94.24,93.09,93.65,94.22,93.66,92.5,93.09,93.09,94.82,90.77,90.77,91.92,90.2,90.76,88.52,89.64999999999999
GLIOMA,86.0,84.0,72.0,86.0,88.0,90.0,82.0,90.0,86.0,86.0,88.0,84.0,86.0,88.0,84.0,84.0,82.0,92.0,80.0,80.0,84.0,78.0,80.0,78.0,80.0,74.0,76.0,76.0,76.0,74.0,76.0,74.0,76.0,78.0,74.0,74.0,72.0
GLI_85,94.12,90.59,90.59,95.29,96.47,96.47,98.82,96.47,96.47,98.82,97.65,97.65,95.29,96.47,95.29,96.47,96.47,96.47,94.12,95.29,95.29,94.12,94.12,95.29,94.12,95.29,94.12,92.94,96.47,94.12,92.94,97.65,95.29,95.29,95.29,95.29,96.47
Prostate_GE,96.05,95.1,96.14,95.05,97.0,95.05,95.1,96.05,94.14,96.05,97.05,94.19,95.05,95.14,96.1,97.05,95.1,94.14,96.05,95.1,95.05,95.1,95.05,95.05,96.05,95.1,94.19,95.05,95.05,96.05,95.1,96.05,96.05,96.0,96.05,97.0,96.0
SMK_CAN_187,66.83,67.91,66.36,70.1,72.23,68.47999999999999,72.16,71.66,71.15,69.53,66.86,71.14,70.65,68.45,66.3,69.6,67.94,66.34,68.45,68.44,71.65,73.77,73.76,72.76,73.77,72.76,73.78,72.76,72.76,72.72999999999999,72.76,73.29,72.72999999999999,72.2,72.72999999999999,72.2,72.2
TOX_171,66.64,67.21000000000001,73.63,66.64,67.86999999999999,65.53,70.78999999999999,68.37,74.29,69.56,68.5,72.55,71.89999999999999,67.88,72.54,68.97,67.19000000000001,66.71000000000001,64.96,67.85,63.74999999999999,63.13999999999999,62.55,62.55,68.37,67.86999999999999,65.53,64.87,63.66,62.61,63.190000000000005,64.27000000000001,64.32,63.09,61.970000000000006,62.029999999999994,64.34
colon,91.92,88.59,85.50999999999999,91.79,90.13,91.79,95.0,90.26,88.59,91.79,87.18,91.92,87.18,90.38,88.59,88.72,85.50999999999999,87.05000000000001,87.05000000000001,90.26,90.0,88.59,88.59,87.05000000000001,88.59,88.85,85.38,88.59,86.79,83.97,85.26,85.38,86.79,87.05000000000001,85.38,83.97,85.38
leukemia,98.67,98.67,97.24,98.67,100.0,98.67,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,98.67,98.67,100.0,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67
lung,95.06,96.04,96.05,94.59,96.07,95.57,95.56,95.07,95.56,95.07,94.57,95.11,94.55,93.6,95.07,95.1,95.07,94.07,93.6,95.55,95.07,94.59,96.56,94.61,95.09,95.1,96.05,95.09,95.1,95.1,95.57,94.12,94.1,94.56,94.6,93.6,94.57
lung_discrete,87.62,90.38,83.52000000000001,75.33,83.71,86.38,86.38,86.29,86.19,87.62,83.52000000000001,86.29,83.52000000000001,82.1,84.95,83.52000000000001,82.28999999999999,84.76,82.1,86.19,73.52,79.52,80.57,75.33,80.86,78.0,80.95,79.62,80.76,78.0,77.9,80.95,76.75999999999999,75.42999999999999,78.0,78.0,76.86
lymphoma,93.79,92.74,88.58,87.68,91.68,93.74,90.68,90.79,92.79,91.79,89.47,89.63,88.53,90.63,88.58,89.63,89.53,87.74,88.58,90.63,88.63,91.79,93.84,89.74,91.79,89.68,88.58,86.53,86.58,87.53,83.47,84.37,86.53,86.63,84.42,85.47,85.53
