dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57±3.19 (20),100.0±0.0 (7),100.0±0.0 (92),97.24±3.79 (15),98.57±3.19 (18),98.57±3.19 (8),98.67±2.98 (5),98.57±3.19 (13),98.67±2.98 (5),98.67±2.98 (12),98.57±3.19 (13),98.67±2.98 (14),98.67±2.98 (6),100.0±0.0 (23),98.67±2.98 (24),98.67±2.98 (22),98.57±3.19 (14),98.67±2.98 (24),100.0±0.0 (37),98.67±2.98 (33),97.14±6.39 (9),98.57±3.19 (35),98.57±3.19 (23),98.57±3.19 (25),98.57±3.19 (21),98.57±3.19 (30),98.57±3.19 (29),98.57±3.19 (27),98.57±3.19 (40),98.57±3.19 (39),98.57±3.19 (31),98.57±3.19 (40),98.57±3.19 (41),98.57±3.19 (42),98.57±3.19 (41),98.57±3.19 (52),98.57±3.19 (42)
CLL_SUB_111,84.66±6.94 (15),90.04±7.51 (94),90.04±5.97 (75),85.53±8.2 (20),83.79±8.22 (38),83.75±6.17 (37),83.75±4.17 (45),83.68±7.68 (57),84.66±5.24 (77),83.75±8.91 (68),82.85±5.09 (42),84.66±6.94 (39),82.81±6.06 (76),83.75±6.96 (87),81.94±4.7 (82),83.79±7.57 (17),82.81±6.86 (86),84.62±8.33 (31),82.02±8.98 (35),82.02±2.88 (75),84.7±6.02 (19),86.56±6.88 (59),85.61±3.63 (47),84.74±8.05 (59),83.83±6.68 (36),83.83±9.27 (58),85.57±5.96 (73),84.74±5.81 (63),84.74±6.64 (68),83.87±9.09 (60),84.78±7.15 (47),85.53±6.02 (70),83.79±6.85 (35),83.79±5.13 (65),85.57±3.85 (83),85.57±2.11 (43),83.79±2.37 (65)
Carcinom,92.5±5.26 (98),92.52±2.59 (34),91.92±6.62 (84),89.06±3.83 (26),91.36±3.57 (63),91.95±4.25 (35),91.36±4.57 (74),91.36±5.39 (56),91.36±3.57 (89),91.36±2.94 (84),90.22±3.3 (89),90.2±4.45 (75),89.06±4.77 (84),89.65±2.6 (90),89.04±4.87 (94),90.22±3.87 (93),88.49±5.77 (62),90.2±6.01 (88),89.06±2.54 (96),89.06±3.83 (83),90.76±5.68 (25),92.52±3.28 (68),91.95±5.5 (59),91.95±3.14 (82),93.66±4.27 (68),91.93±3.22 (89),90.79±4.29 (87),93.09±2.6 (88),91.34±4.65 (90),90.76±5.31 (74),90.79±2.47 (81),89.63±4.87 (90),90.2±6.01 (67),89.08±2.42 (46),90.2±3.41 (91),87.92±3.79 (83),88.49±5.4 (80)
GLIOMA,86.0±5.48 (11),90.0±7.07 (31),88.0±8.37 (81),88.0±8.37 (8),86.0±5.48 (41),90.0±10.0 (13),90.0±7.07 (80),90.0±7.07 (72),84.0±11.4 (77),84.0±5.48 (44),86.0±8.94 (87),84.0±11.4 (34),84.0±11.4 (49),86.0±11.4 (81),86.0±5.48 (49),86.0±5.48 (69),82.0±4.47 (54),86.0±8.94 (65),84.0±11.4 (28),86.0±13.42 (80),86.0±5.48 (18),88.0±8.37 (22),88.0±4.47 (10),88.0±8.37 (35),86.0±8.94 (26),86.0±11.4 (66),88.0±8.37 (42),88.0±8.37 (72),86.0±5.48 (26),88.0±10.95 (83),86.0±8.94 (87),88.0±10.95 (84),86.0±11.4 (26),86.0±5.48 (79),86.0±5.48 (49),86.0±5.48 (71),88.0±4.47 (96)
GLI_85,96.47±3.22 (45),97.65±3.22 (65),96.47±5.26 (59),96.47±3.22 (14),97.65±3.22 (31),97.65±3.22 (15),97.65±3.22 (21),96.47±3.22 (11),96.47±3.22 (9),96.47±3.22 (22),96.47±3.22 (10),97.65±3.22 (78),96.47±3.22 (39),96.47±5.26 (26),96.47±5.26 (42),97.65±3.22 (28),96.47±3.22 (33),96.47±3.22 (10),96.47±3.22 (40),96.47±5.26 (47),96.47±3.22 (15),97.65±3.22 (24),96.47±3.22 (13),97.65±3.22 (33),96.47±3.22 (24),96.47±3.22 (39),96.47±3.22 (29),96.47±3.22 (37),96.47±3.22 (29),96.47±3.22 (37),96.47±3.22 (42),97.65±3.22 (86),96.47±3.22 (39),96.47±3.22 (79),95.29±2.63 (21),96.47±3.22 (83),96.47±3.22 (35)
Prostate_GE,94.1±8.89 (30),96.05±6.51 (34),97.05±4.45 (55),96.05±4.17 (3),95.1±6.99 (15),95.1±6.99 (14),96.05±6.51 (10),95.1±6.99 (15),95.1±6.99 (17),95.1±6.99 (43),96.05±6.51 (22),95.1±6.99 (23),95.1±6.99 (42),95.1±6.99 (28),95.1±6.99 (34),95.1±6.99 (26),95.1±6.99 (23),96.05±6.51 (19),95.1±6.99 (24),96.05±6.51 (28),94.1±5.5 (4),95.1±6.99 (13),95.1±6.99 (14),95.1±6.99 (15),95.1±6.99 (22),95.1±6.99 (28),95.1±6.99 (26),95.1±6.99 (26),95.1±6.99 (19),95.1±6.99 (42),95.1±6.99 (33),95.1±6.99 (33),95.1±6.99 (28),95.1±6.99 (33),95.1±6.99 (37),95.1±6.99 (38),95.1±6.99 (33)
SMK_CAN_187,76.49±17.02 (71),73.81±17.65 (54),68.96±14.1 (79),75.95±14.03 (18),75.41±17.88 (23),75.41±17.57 (33),75.92±15.21 (32),75.42±18.9 (51),73.84±12.22 (72),74.3±14.67 (32),74.85±16.82 (38),73.3±16.92 (48),74.3±11.07 (24),73.24±16.48 (38),72.22±15.88 (72),74.31±10.22 (34),72.73±16.16 (26),71.15±16.48 (37),71.12±11.79 (33),72.2±9.93 (40),75.93±16.82 (16),72.22±17.75 (49),73.24±18.95 (20),72.15±13.89 (3),71.68±21.23 (35),72.72±16.58 (86),72.2±18.03 (72),71.12±18.44 (79),72.18±15.21 (40),71.12±11.8 (4),71.14±19.8 (83),70.55±17.85 (30),72.19±17.48 (56),70.6±17.91 (57),71.68±19.89 (91),70.58±10.15 (16),70.03±11.75 (6)
TOX_171,69.03±5.94 (34),77.26±11.77 (96),74.34±7.17 (90),67.8±13.24 (13),69.61±6.61 (30),68.44±4.67 (32),68.52±11.67 (23),70.2±6.18 (26),67.82±7.87 (15),69.08±8.0 (62),66.67±6.39 (61),69.61±7.81 (50),66.67±5.67 (45),68.45±8.73 (39),67.24±9.87 (48),70.76±4.67 (56),66.71±6.45 (76),67.24±7.64 (32),69.63±6.47 (40),69.01±7.36 (82),69.04±3.46 (10),63.13±5.93 (52),66.05±5.54 (17),61.98±13.33 (30),64.87±8.22 (38),60.86±11.1 (41),60.79±7.54 (31),62.0±5.37 (59),62.5±10.69 (55),58.49±9.56 (87),60.81±6.17 (53),59.04±6.72 (87),60.22±7.46 (43),59.63±6.49 (74),58.52±11.97 (91),56.69±9.09 (77),58.44±6.64 (34)
colon,90.0±10.87 (21),93.46±6.94 (16),91.79±5.9 (18),91.79±5.9 (13),90.26±3.88 (18),90.13±9.16 (18),91.79±5.9 (21),91.92±0.35 (15),90.26±9.19 (20),90.26±3.88 (20),90.26±10.68 (38),93.46±6.94 (39),91.92±5.9 (65),90.13±10.89 (83),91.79±8.34 (31),93.46±6.94 (80),90.13±7.02 (43),90.13±10.89 (5),90.26±6.68 (42),91.67±10.21 (52),91.79±5.9 (8),88.59±7.26 (2),90.0±10.87 (38),88.46±9.56 (25),90.0±10.87 (52),90.0±10.87 (72),88.46±9.56 (24),88.46±9.56 (23),90.0±10.87 (79),90.0±10.87 (85),88.46±9.56 (16),88.46±9.56 (53),88.46±9.56 (43),88.59±7.26 (21),88.46±9.56 (42),88.46±9.56 (57),88.46±9.56 (55)
leukemia,100.0±0.0 (13),100.0±0.0 (15),98.67±2.98 (27),100.0±0.0 (5),100.0±0.0 (8),100.0±0.0 (7),100.0±0.0 (10),100.0±0.0 (10),100.0±0.0 (15),100.0±0.0 (10),100.0±0.0 (17),100.0±0.0 (15),100.0±0.0 (18),100.0±0.0 (13),100.0±0.0 (11),100.0±0.0 (19),100.0±0.0 (23),100.0±0.0 (19),100.0±0.0 (26),100.0±0.0 (17),100.0±0.0 (10),100.0±0.0 (25),100.0±0.0 (9),100.0±0.0 (11),100.0±0.0 (11),98.67±2.98 (17),98.57±3.19 (16),98.67±2.98 (10),98.57±3.19 (27),98.67±2.98 (31),98.57±3.19 (27),98.57±3.19 (33),98.57±3.19 (28),98.57±3.19 (33),98.57±3.19 (34),98.57±3.19 (39),98.67±2.98 (26)
