dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,93.05±9.94 (2),98.67±2.98 (10),96.0±5.96 (21),94.48±3.1 (2),97.33±3.65 (5),96.0±5.96 (3),97.33±3.65 (7),96.0±5.96 (4),97.33±3.65 (4),97.33±3.65 (7),97.33±3.65 (15),97.24±3.79 (4),97.33±3.65 (14),97.33±3.65 (11),97.33±5.96 (6),97.33±5.96 (4),98.67±2.98 (4),97.33±3.65 (7),98.67±2.98 (22),97.33±5.96 (7),94.38±9.3 (10),93.05±9.94 (2),94.38±9.3 (28),94.38±9.3 (8),93.05±9.94 (2),94.38±9.3 (16),94.38±9.3 (9),94.38±9.3 (11),94.38±9.3 (12),94.38±9.3 (2),94.38±9.3 (2),94.38±9.3 (10),94.38±9.3 (11),94.38±9.3 (19),94.38±9.3 (11),95.71±9.58 (4),94.38±9.3 (2)
CLL_SUB_111,83.79±10.44 (29),87.39±6.73 (82),84.66±6.94 (89),82.89±4.96 (20),84.66±5.24 (57),81.11±6.62 (38),81.15±6.39 (67),82.09±7.28 (67),81.15±6.39 (34),80.16±2.65 (74),82.02±8.38 (70),82.85±6.83 (58),84.62±5.31 (76),80.24±4.78 (90),83.75±8.91 (56),79.29±7.56 (80),83.0±9.89 (66),80.2±3.92 (20),79.33±5.81 (87),78.38±6.72 (61),80.12±6.26 (12),81.98±3.23 (65),83.79±5.13 (52),81.98±4.56 (62),81.98±5.58 (65),82.85±6.83 (70),81.07±5.03 (65),81.07±2.15 (83),81.03±5.15 (86),81.07±3.87 (56),81.15±5.53 (91),82.85±6.02 (33),80.16±2.65 (47),79.33±5.81 (52),81.03±4.02 (31),80.99±8.86 (44),82.06±6.02 (95)
Carcinom,71.37±24.33 (62),90.81±4.23 (69),86.77±5.22 (100),83.29±5.69 (25),86.17±6.96 (56),86.79±10.21 (59),87.34±3.32 (87),86.17±9.23 (53),86.77±6.6 (30),88.5±4.52 (78),85.61±6.12 (87),66.58±37.97 (91),85.61±7.05 (88),87.34±6.91 (49),85.06±2.37 (69),85.04±6.24 (84),84.49±3.23 (96),86.18±3.85 (60),84.45±8.56 (72),85.04±5.55 (57),83.93±8.19 (22),86.2±6.53 (66),85.08±7.36 (46),87.34±4.38 (80),85.61±4.13 (53),85.06±5.49 (80),86.74±4.57 (62),86.18±6.27 (89),84.42±9.81 (69),84.47±4.39 (93),83.9±7.19 (70),85.03±3.93 (53),85.6±3.74 (88),86.2±5.51 (90),84.39±11.86 (83),83.92±3.79 (68),83.92±2.49 (78)
GLIOMA,84.0±5.48 (32),84.0±5.48 (30),82.0±24.9 (99),82.0±10.95 (14),82.0±8.37 (51),80.0±10.0 (29),82.0±8.37 (32),84.0±11.4 (45),80.0±7.07 (23),82.0±16.43 (78),80.0±14.14 (24),82.0±13.04 (67),82.0±10.95 (49),80.0±17.32 (27),80.0±12.25 (79),82.0±14.83 (87),80.0±20.0 (96),76.0±11.4 (25),78.0±16.43 (42),86.0±5.48 (73),80.0±10.0 (20),84.0±8.94 (44),84.0±11.4 (36),82.0±8.37 (20),82.0±8.37 (39),84.0±11.4 (68),84.0±11.4 (75),82.0±8.37 (18),82.0±4.47 (32),82.0±8.37 (43),82.0±4.47 (39),86.0±5.48 (84),84.0±5.48 (78),84.0±8.94 (86),82.0±8.37 (53),86.0±11.4 (51),86.0±5.48 (36)
GLI_85,92.94±2.63 (4),94.12±5.88 (10),97.65±3.22 (43),94.12±5.88 (8),95.29±4.92 (10),95.29±4.92 (8),96.47±5.26 (11),94.12±5.88 (19),95.29±4.92 (16),95.29±4.92 (4),95.29±2.63 (13),96.47±3.22 (22),95.29±2.63 (13),94.12±7.2 (19),94.12±7.2 (48),94.12±4.16 (29),95.29±2.63 (35),95.29±2.63 (10),94.12±5.88 (29),94.12±4.16 (18),94.12±5.88 (12),95.29±4.92 (12),94.12±7.2 (18),95.29±4.92 (32),96.47±3.22 (32),94.12±0.0 (9),95.29±4.92 (25),95.29±4.92 (57),94.12±4.16 (50),94.12±5.88 (44),95.29±2.63 (68),95.29±4.92 (58),95.29±2.63 (64),94.12±4.16 (57),95.29±2.63 (70),92.94±4.92 (57),95.29±4.92 (40)
Prostate_GE,95.1±6.99 (48),95.1±6.99 (45),96.05±4.17 (65),93.1±8.33 (3),96.1±4.16 (31),96.1±4.16 (25),96.1±4.16 (24),96.05±4.17 (41),96.05±4.17 (44),97.05±4.45 (29),96.1±5.35 (60),95.05±6.12 (64),96.1±4.16 (34),96.1±4.16 (42),96.05±6.51 (66),95.14±4.88 (53),96.05±4.17 (62),97.05±4.45 (60),95.1±3.54 (79),95.1±6.13 (42),93.14±8.34 (4),94.14±6.46 (18),94.14±6.46 (16),94.1±8.23 (30),94.1±8.23 (21),94.1±8.89 (51),94.1±8.89 (12),94.1±8.23 (36),94.1±8.23 (36),94.1±8.89 (78),95.1±6.99 (76),95.05±6.12 (66),95.1±6.13 (65),95.05±6.12 (59),95.05±8.66 (53),95.05±8.66 (79),96.05±6.51 (60)
SMK_CAN_187,72.23±17.13 (86),70.58±13.98 (44),66.29±10.07 (84),73.8±10.47 (18),74.32±11.16 (68),75.43±9.38 (46),72.2±11.47 (36),73.29±15.28 (69),72.23±10.35 (86),72.19±7.87 (58),72.75±14.36 (86),72.15±10.99 (11),73.24±6.88 (37),70.61±11.56 (16),72.18±8.76 (47),72.25±15.13 (85),69.02±13.4 (94),70.07±12.1 (62),71.15±12.06 (75),72.26±8.64 (60),74.34±14.12 (21),71.11±13.25 (29),73.3±11.87 (40),73.74±16.1 (3),70.6±14.5 (39),72.19±9.35 (17),72.72±14.08 (77),73.78±15.11 (9),75.42±10.11 (5),70.6±9.5 (42),69.56±8.23 (11),70.57±7.45 (16),70.54±12.12 (44),70.07±16.15 (89),69.02±12.59 (69),70.04±6.98 (14),69.52±8.01 (17)
TOX_171,38.12±10.65 (6),46.34±19.2 (3),70.79±4.34 (41),68.45±14.2 (13),69.6±7.63 (44),67.26±10.84 (17),68.96±7.27 (65),68.49±7.97 (55),67.87±9.82 (55),70.17±5.3 (9),67.87±8.4 (66),69.63±7.69 (67),70.79±7.88 (74),68.96±6.31 (24),67.85±4.51 (55),69.6±10.7 (35),69.61±3.01 (61),68.97±7.51 (87),72.55±9.7 (40),69.55±4.73 (43),65.51±6.9 (9),66.07±9.49 (29),67.23±9.7 (27),64.32±4.42 (67),63.73±9.48 (51),63.16±11.86 (68),62.0±8.98 (55),61.97±5.65 (59),63.16±7.64 (66),60.24±9.42 (62),61.41±5.16 (22),62.0±9.68 (77),60.25±14.27 (82),60.22±5.04 (74),60.86±10.5 (72),57.88±2.81 (32),59.09±6.95 (67)
colon,88.59±9.62 (9),91.92±0.35 (6),90.0±9.13 (46),93.33±6.97 (13),95.0±7.45 (37),93.33±6.97 (15),90.26±6.68 (19),95.0±4.56 (31),93.33±6.97 (25),93.33±6.97 (20),91.67±10.21 (55),93.33±6.97 (45),93.46±6.94 (31),95.0±4.56 (39),91.67±8.33 (58),93.33±6.97 (44),91.79±5.9 (52),95.0±7.45 (39),91.92±5.45 (51),93.33±6.97 (54),88.46±9.56 (7),91.79±5.9 (16),91.79±5.9 (12),88.46±9.56 (33),90.13±9.16 (17),91.67±10.21 (46),90.13±9.16 (24),91.67±10.21 (32),90.0±10.87 (59),90.13±9.16 (44),91.67±8.33 (44),91.67±10.21 (75),91.67±10.21 (72),91.67±8.33 (66),91.67±10.21 (76),90.0±10.87 (72),91.67±10.21 (67)
leukemia,100.0±0.0 (17),100.0±0.0 (49),97.24±3.79 (98),98.67±2.98 (4),100.0±0.0 (16),100.0±0.0 (9),100.0±0.0 (16),100.0±0.0 (10),100.0±0.0 (21),100.0±0.0 (11),100.0±0.0 (20),100.0±0.0 (18),100.0±0.0 (18),100.0±0.0 (16),100.0±0.0 (28),100.0±0.0 (23),100.0±0.0 (23),100.0±0.0 (26),100.0±0.0 (21),100.0±0.0 (24),98.67±2.98 (5),100.0±0.0 (12),100.0±0.0 (9),100.0±0.0 (14),100.0±0.0 (11),100.0±0.0 (17),100.0±0.0 (16),100.0±0.0 (20),100.0±0.0 (16),100.0±0.0 (19),98.67±2.98 (19),100.0±0.0 (22),100.0±0.0 (80),100.0±0.0 (25),100.0±0.0 (22),100.0±0.0 (29),98.67±2.98 (25)
