dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,93.05,98.67,96.0,94.48,97.33,96.0,97.33,96.0,97.33,97.33,97.33,97.24,97.33,97.33,97.33,97.33,98.67,97.33,98.67,97.33,94.38,93.05,94.38,94.38,93.05,94.38,94.38,94.38,94.38,94.38,94.38,94.38,94.38,94.38,94.38,95.71,94.38
CLL_SUB_111,83.78999999999999,87.39,84.66,82.89,84.66,81.11,81.15,82.09,81.15,80.16,82.02000000000001,82.85,84.61999999999999,80.24,83.75,79.29,83.0,80.2,79.33,78.38000000000001,80.12,81.98,83.78999999999999,81.98,81.98,82.85,81.07,81.07,81.03,81.07,81.15,82.85,80.16,79.33,81.03,80.99,82.06
Carcinom,71.37,90.81,86.77,83.28999999999999,86.17,86.79,87.33999999999999,86.17,86.77,88.5,85.61,66.58,85.61,87.33999999999999,85.06,85.04,84.49,86.18,84.45,85.04,83.93,86.2,85.08,87.33999999999999,85.61,85.06,86.74,86.18,84.42,84.47,83.89999999999999,85.03,85.6,86.2,84.39,83.91999999999999,83.91999999999999
GLIOMA,84.0,84.0,82.0,82.0,82.0,80.0,82.0,84.0,80.0,82.0,80.0,82.0,82.0,80.0,80.0,82.0,80.0,76.0,78.0,86.0,80.0,84.0,84.0,82.0,82.0,84.0,84.0,82.0,82.0,82.0,82.0,86.0,84.0,84.0,82.0,86.0,86.0
GLI_85,92.94,94.12,97.65,94.12,95.29,95.29,96.47,94.12,95.29,95.29,95.29,96.47,95.29,94.12,94.12,94.12,95.29,95.29,94.12,94.12,94.12,95.29,94.12,95.29,96.47,94.12,95.29,95.29,94.12,94.12,95.29,95.29,95.29,94.12,95.29,92.94,95.29
Prostate_GE,95.1,95.1,96.05,93.1,96.1,96.1,96.1,96.05,96.05,97.05,96.1,95.05,96.1,96.1,96.05,95.14,96.05,97.05,95.1,95.1,93.14,94.14,94.14,94.1,94.1,94.1,94.1,94.1,94.1,94.1,95.1,95.05,95.1,95.05,95.05,95.05,96.05
SMK_CAN_187,72.23,70.58,66.29,73.8,74.32,75.42999999999999,72.2,73.29,72.23,72.19,72.75,72.15,73.24000000000001,70.61,72.18,72.25,69.02000000000001,70.07,71.15,72.26,74.33999999999999,71.11,73.3,73.74000000000001,70.6,72.19,72.72,73.78,75.42,70.6,69.56,70.57,70.54,70.07,69.02000000000001,70.04,69.52000000000001
TOX_171,38.12,46.34,70.78999999999999,68.45,69.6,67.25999999999999,68.96,68.49,67.86999999999999,70.17,67.86999999999999,69.63000000000001,70.78999999999999,68.96,67.85,69.6,69.61,68.97,72.55,69.55,65.51,66.07,67.23,64.32,63.73,63.16,62.0,61.970000000000006,63.16,60.24,61.41,62.0,60.25,60.22,60.86,57.879999999999995,59.09
colon,88.59,91.92,90.0,93.33,95.0,93.33,90.26,95.0,93.33,93.33,91.67,93.33,93.46,95.0,91.67,93.33,91.79,95.0,91.92,93.33,88.46000000000001,91.79,91.79,88.46000000000001,90.13,91.67,90.13,91.67,90.0,90.13,91.67,91.67,91.67,91.67,91.67,90.0,91.67
leukemia,100.0,100.0,97.24,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,100.0,100.0,100.0,100.0,98.67
lung,94.07,94.07,94.06,96.05,95.55,95.56,95.07,96.06,95.57,95.06,95.09,95.09,95.07,95.56,96.06,96.04,95.05,96.06,95.55,95.57,95.57,95.57,95.57,94.59,94.6,95.07,93.62,95.06,94.6,93.63,94.6,94.09,94.1,94.59,94.1,93.13,93.15
lung_discrete,87.42999999999999,86.48,87.52,76.75999999999999,85.05,87.52,88.94999999999999,90.48,84.95,89.05,86.29,84.95,86.19,87.52,84.86,87.62,83.62,84.95,86.38,86.48,75.24,86.19,83.52000000000001,86.38,83.62,89.05,83.71,86.38,86.48,89.14,83.62,85.05,89.05,82.1,83.52000000000001,82.19,89.14
lymphoma,89.79,89.79,80.36999999999999,85.47,87.74,85.53,86.58,86.68,84.63000000000001,87.68,85.53,84.53,84.53,85.42,85.47,82.42,82.42,87.68,83.32000000000001,85.53,86.42,83.32000000000001,85.47,83.37,83.53,82.37,82.32000000000001,82.37,81.32000000000001,81.26,82.21000000000001,81.26,81.32000000000001,82.26,81.37,81.26,81.26
nci9,48.33,45.0,33.33,51.67,61.67,61.67,56.67,58.330000000000005,55.00000000000001,65.0,55.00000000000001,53.33,58.330000000000005,53.33,53.33,51.67,51.67,53.33,48.33,53.33,48.33,53.33,53.33,51.67,51.67,51.67,48.33,50.0,48.33,43.33,50.0,45.0,46.67,45.0,46.67,43.33,45.0
